% off|خصم %
(required)|(مطلوب)
48–72 business hours, standard delivery|التسليم المعتاد خلال ٤٨–٧٢ ساعة عمل
70% of employer screenings|٧٠٪ من عمليات فرز المرشحين
A clear, honest scope|نطاق خدمة واضح وصريح
A current operational snapshot based on SANAD orders, payments, and customers.|نظرة محدثة على طلبات سند ومدفوعاتها وعملائها.
A few details help the service owner start with the right context.|تساعدنا بعض التفاصيل على بدء الخدمة وفق احتياجاتك.
Access denied|الوصول غير مسموح
Account email|البريد الإلكتروني للحساب
Action|الإجراء
Action failed|تعذّر تنفيذ الإجراء
Actions|الإجراءات
Active|نشط
Activity Logs|سجل الأنشطة
Add Coupon|إضافة قسيمة
Add Offer|إضافة عرض
Add Package|إضافة باقة
Add Page|إضافة صفحة
Add the context we need, review the final total, and continue to secure payment.|أضف تفاصيل طلبك، وراجع الإجمالي، ثم تابع للدفع الآمن.
Additional notes|ملاحظات إضافية
Admin|المدير
Admin navigation|قائمة الإدارة
Administrator access|دخول الإدارة
Administrator access required|يتطلب صلاحية مدير
All statuses|كل الحالات
Alt Text|النص البديل
Amount|المبلغ
Announcement|الإعلان
Answer 3 quick questions to evaluate your CV’s competitive readiness for UAE & GCC employers.|أجب عن ٣ أسئلة لتقييم جاهزية سيرتك الذاتية لسوق العمل الإماراتي والخليجي.
Answers Before You Choose Your Service|إجابات تساعدك على اختيار خدمتك
Answers to the questions visitors most often ask before choosing a career service.|إجابات عن الأسئلة الشائعة قبل اختيار الخدمة المهنية.
Anything else the service owner should know?|هل هناك تفاصيل أخرى تود مشاركتها معنا؟
Ask SANAD before ordering|اسأل سند قبل الطلب
Ask about a service|استفسر عن خدمة
Assessment Completed!|اكتمل التقييم!
Authorized SANAD staff only|لموظفي سند المصرح لهم فقط
Back to Home|العودة للرئيسية
Back to My Orders|العودة لطلباتي
Back to Orders|العودة للطلبات
Back to home|العودة للرئيسية
Based on|بناءً على
Before you order|قبل تقديم الطلب
Breadcrumb|مسار الصفحة
CV, LinkedIn, and career-document services|خدمات السيرة الذاتية ولينكدإن والمستندات المهنية
Cancel|إلغاء
Career goals|الأهداف المهنية
Career service|خدمة مهنية
Career service document preview|معاينة مستندات الخدمة المهنية
Career services operations, clearly managed.|إدارة واضحة لجميع الخدمات المهنية.
Change email address|تغيير البريد الإلكتروني
Chat on WhatsApp|تواصل عبر واتساب
Check Your ATS & Market Readiness|اختبر جاهزيتك لأنظمة ATS وسوق العمل
Checking review eligibility...|جارٍ التحقق من إمكانية التقييم...
Checkout|إتمام الطلب
Choose by what is included, the delivery estimate and revision allowance.|قارن المحتوى وموعد التسليم وعدد التعديلات المتاحة.
Choose the support you need.|اختر الدعم الذي تحتاجه.
Choose your next career step.|اختر خطوتك المهنية التالية.
Clear answers about starting the service, revisions, and the outcome you can expect.|إجابات واضحة عن بدء الخدمة والتعديلات والنتائج المتوقعة.
Clear service search|مسح البحث عن الخدمات
Client feedback|آراء العملاء
Close dialog|إغلاق النافذة
Close panel|إغلاق اللوحة
Code|الرمز
Comment|التعليق
Common Questions|الأسئلة الشائعة
Compare All Services|مقارنة كل الخدمات
Compare complete packages|مقارنة الباقات المتكاملة
Compare focused services and complete packages. See what you receive, the price and the delivery estimate before you choose.|قارن الخدمات المتخصصة والباقات المتكاملة، وتعرّف على المحتوى والسعر وموعد التسليم قبل الاختيار.
Compare packages|مقارنة الباقات
Compare standalone services too. A higher package price does not necessarily mean a saving. Confirm any differences in scope before choosing.|قارن أيضًا الخدمات المنفردة؛ سعر الباقة الأعلى لا يعني بالضرورة توفيرًا. تأكد من اختلاف نطاق الخدمات قبل الاختيار.
Compare the available services and select the support that fits your current career-document needs.|قارن الخدمات المتاحة واختر ما يناسب احتياجاتك المهنية الحالية.
Compare your options|قارن الخيارات
Complete Account & Continue|إكمال الحساب والمتابعة
